dataset,cant_threads,metodo,tiempo_carga,tiempo_max,varianza_carga,varianza_max
random_alfabeto2,1,true,15689.7,12.0655,1009980.5576000002,0.5582198439999995
random_alfabeto2,2,true,8119.65,5.3901,40963.0565839999,0.06117508278400004
random_alfabeto2,3,true,6028.14,3.43799,12311.202776000024,0.06245000593599999
random_alfabeto2,4,true,5151.64,2.56915,4117.100743999994,0.012787407864000006
random_alfabeto2,5,true,5152.13,2.59682,17999.070704000027,0.0015890538959999999
random_alfabeto2,6,true,5231.86,2.61598,4813.4717839999985,0.022120942136
random_alfabeto2,7,true,5145.03,2.53276,11472.780535999977,0.017312705703999995
random_alfabeto2,8,true,4856.99,2.47462,2577.5557759999992,0.006933556624000002
random_alfabeto2,9,true,4829.21,2.55139,8956.499976000017,0.05849811105599999
random_alfabeto2,10,true,4614.82,2.689,3306.6821840000084,0.012274141136000002
random_alfabeto2,11,true,4752.33,2.72034,4278.585056000026,0.005660987096000003
random_alfabeto2,12,true,5030.97,2.7804,17471.571416000013,0.013533392055999998
random_alfabeto2,13,true,4620.3,2.81527,2548.364215999997,0.022925257416000024
random_alfabeto2,14,true,4596.59,2.70233,1574.0472400000035,0.024507749863999975
random_alfabeto2,15,true,4774.01,2.74112,2813.844376000019,0.014503863055999988
random_alfabeto2,16,true,4987.31,2.63648,3356.3029039999856,0.029857459615999987
random_alfabeto2,17,true,4583.64,2.80231,2158.38305600002,0.009629338544000016
random_alfabeto2,18,true,4530.54,2.75065,332.9231199999962,0.008003717824000011
